User_ID,Age,Country,Streaming Platform,Top Genre,Minutes Streamed Per Day,Number of Songs Liked,Most Played Artist,Subscription Type,Listening Time (Morning/Afternoon/Night),Discover Weekly Engagement (%),Repeat Song Rate (%)
U2501,44,Australia,Amazon Music,Rock,568,309,Taylor Swift,Premium,Morning,54.45,37.37
U3586,30,South Korea,Amazon Music,Pop,430,408,Drake,Premium,Afternoon,59.27,75.36
U3653,25,India,Spotify,Hip-Hop,403,268,The Weeknd,Premium,Morning,58.69,11.68
U2055,47,Australia,Spotify,Classical,586,137,The Weeknd,Free,Afternoon,48.38,68.58
U1705,28,Brazil,Amazon Music,Rock,54,943,Ed Sheeran,Premium,Morning,59.97,38.64
U1106,42,UK,Spotify,Reggae,76,84,Ed Sheeran,Free,Night,30.14,11.02
U1589,46,India,Spotify,Rock,253,105,Billie Eilish,Premium,Night,34.58,76.69
U3468,43,UK,Apple Music,Rock,448,446,Ed Sheeran,Free,Afternoon,56.45,73.22
U3413,36,Australia,Tidal,Jazz,550,153,Post Malone,Free,Night,79.41,18.08
U2600,42,Canada,Amazon Music,Jazz,152,124,Taylor Swift,Free,Morning,85.74,53.51
U3464,36,Japan,Amazon Music,Classical,31,125,Dua Lipa,Premium,Morning,32.71,14.75
U1228,36,Japan,Spotify,Country,440,271,BTS,Free,Afternoon,30.55,67.5
U1915,40,Germany,Apple Music,EDM,504,185,Bad Bunny,Premium,Night,41.21,1.53
U1794,43,Germany,Amazon Music,Hip-Hop,169,142,Taylor Swift,Free,Morning,40.21,77.54
U4021,24,UK,Amazon Music,Hip-Hop,248,367,The Weeknd,Premium,Afternoon,28.88,74.29
U4543,43,USA,Tidal,Classical,511,138,Bad Bunny,Free,Night,69.25,18.28
U2073,20,Japan,Amazon Music,Country,525,387,The Weeknd,Free,Afternoon,39.21,61.38
U4351,31,Japan,Apple Music,R&B,585,236,Drake,Free,Afternoon,63.57,56.36
U2744,47,USA,Apple Music,Reggae,167,1,Ed Sheeran,Free,Morning,57.73,9.21
U2084,28,India,,Reggae,160,258,Taylor Swift,Free,Afternoon,55.13,66.17
U1926,47,Brazil,Tidal,Hip-Hop,272,90,Taylor Swift,Free,Night,76.89,98.21
U4049,39,USA,Apple Music,Rock,78,161,The Weeknd,Premium,Night,98.92,50.09
U2117,41,Australia,Apple Music,Pop,66,13,Taylor Swift,Free,Morning,12.02,64.49
U1642,58,Japan,YouTube,Rock,597,356,BTS,Free,Night,63.76,70.76
U5767,35,Brazil,Apple Music,Country,62,464,BTS,Premium,Afternoon,47.14,14.78
U1501,36,Canada,Deezer,Jazz,504,6,The Weeknd,Premium,Night,86.98,46.34
U5066,23,UK,YouTube,,28,498,Adele,Premium,Night,88.63,45.66
U1333,36,Japan,YouTube,Country,47,190,Drake,Premium,Afternoon,67.72,47.01
U5684,57,South Korea,Tidal,R&B,87,275,Ed Sheeran,Free,Night,15.94,27.58
U1486,59,Australia,Apple Music,Jazz,24,479,Drake,Premium,Night,42.58,12.62
U2962,34,South Korea,Tidal,Hip-Hop,319,179,Bad Bunny,Free,Afternoon,59.88,69.17
U1393,25,USA,Tidal,Reggae,271,683,BTS,Free,Morning,21.03,60.35
U5842,18,Brazil,Spotify,Metal,561,461,Post Malone,Premium,Morning,62.37,66.8
U5866,53,UK,Tidal,Metal,466,322,BTS,Premium,Night,84.86,74.85
U2755,52,India,YouTube,Reggae,43,472,Taylor Swift,Premium,Night,54.57,14.87
U3515,23,,YouTube,Jazz,147,84,Billie Eilish,Premium,Afternoon,78.34,10.03
U4585,20,Germany,Apple Music,Reggae,80,9,Billie Eilish,Premium,Morning,39.33,44.09
U5315,14,Canada,Spotify,Hip-Hop,67,349,The Weeknd,Premium,Morning,35.41,26.79
U5966,57,Japan,Tidal,EDM,35,34,Ed Sheeran,Free,Afternoon,67.09,42.24
U3099,23,France,YouTube,Jazz,447,172,Bad Bunny,Free,Night,20.32,34.15
U4599,80,India,YouTube,Classical,294,19,The Weeknd,Free,Night,15.42,74.78
U5121,33,Germany,Deezer,EDM,380,104,Dua Lipa,Premium,Afternoon,86.5,24.27
U1029,42,Canada,Amazon Music,Reggae,151,195,Taylor Swift,Premium,Morning,63.01,47.74
U1065,59,UK,Deezer,R&B,334,44,BTS,Premium,Night,61.36,60.91
U1838,31,India,Amazon Music,Jazz,465,15,Post Malone,Free,Morning,,54.62
U4906,34,France,Amazon Music,R&B,433,410,The Weeknd,Premium,Afternoon,57.15,14.1
U4773,36,USA,Amazon Music,Hip-Hop,114,200,Drake,Premium,Night,18.9,60.48
U5635,33,India,Tidal,Country,575,341,BTS,Free,Morning,65.69,31.39
U4161,29,Brazil,Apple Music,Hip-Hop,19,109,Dua Lipa,Free,Morning,45.57,38.07
U3659,39,South Korea,YouTube,Metal,478,6,Adele,Premium,Morning,62.06,59.65
U5615,42,Japan,Tidal,Country,592,337,Drake,Premium,Afternoon,11.95,48.46
U5628,21,Canada,Spotify,EDM,569,266,Dua Lipa,Premium,Afternoon,32.88,73.3
U3451,57,South Korea,Tidal,EDM,549,64,Taylor Swift,Free,Night,82.6,17.41
U3846,38,Canada,YouTube,Rock,503,391,BTS,Free,Afternoon,72.93,51.75
U2144,38,UK,YouTube,Metal,122,274,Ed Sheeran,Premium,Afternoon,25.65,38.33
U4078,10,France,Apple Music,Country,337,182,Taylor Swift,Free,Afternoon,28.18,25.11
U2103,43,France,Spotify,R&B,12,207,Dua Lipa,Premium,Afternoon,70.23,20.06
U1168,21,Japan,Apple Music,Pop,345,37,Taylor Swift,Free,Night,80.94,7.91
U2670,51,France,Apple Music,Classical,495,347,Billie Eilish,Premium,Afternoon,43.23,26.19
U3570,52,Canada,Tidal,Pop,16,95,Billie Eilish,Free,Morning,26.17,24.75
U3377,36,UK,Apple Music,Jazz,113,387,Dua Lipa,Premium,Morning,27.31,XX
U5395,32,Japan,YouTube,Classical,366,9,Billie Eilish,Free,Morning,84.98,32.29
U5257,24,Canada,Amazon Music,Rock,297,400,Adele,Free,Morning,26.01,49.39
,46,Germany,Deezer,Pop,223,291,Ed Sheeran,Free,Morning,89.83,68.89
U1023,42,Brazil,Amazon Music,Rock,847,248,Post Malone,,Night,26.03,8.42
U3633,47,France,Tidal,Reggae,83,250,BTS,Premium,Morning,84.4,34.33
U4340,16,France,Apple Music,Pop,459,18,Billie Eilish,Free,Night,57.52,70.47
U3215,96,India,Spotify,R&B,528,883,Post Malone,Free,Afternoon,75.17,35.39
